appendix_table,source_pdf,section,memory_construction_model,modeling_type,inference_model,pdf_y,p_em,ea_precision,ea_recall,ea_f1,oa_precision,oa_recall,oa_f1
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,R1-Distill-Llama-8B,698.402,34.94,66.67,63.65,65.12,64.52,57.89,61.03
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,R1-Distill-Qwen-7B,691.229,13.55,50.84,24.97,33.49,51.13,22.84,31.58
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,Gemini-3-Flash [high],684.056,62.65,73.60,71.88,72.73,71.48,77.25,74.25
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,GPT-5 [high],676.883,51.20,65.07,59.81,62.33,62.94,66.70,64.77
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,GPT-5-mini [high],669.710,47.59,61.58,69.68,65.38,60.80,73.85,66.69
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,GPT-4o-mini,662.537,32.23,57.86,58.57,58.21,52.61,54.50,53.54
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,CodeGemma-7B-Instruct,655.364,18.67,48.66,32.37,38.88,51.89,30.18,38.17
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Recall,Gemma-3-12B-Instruct,648.191,7.23,67.29,54.73,60.36,65.12,39.91,49.49
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,R1-Distill-Llama-8B,636.016,18.43,64.71,60.62,62.60,59.39,56.70,58.02
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,R1-Distill-Qwen-7B,628.843,7.17,42.12,20.83,27.88,40.46,18.61,25.50
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,Gemini-3-Flash [high],621.670,28.67,71.69,67.74,69.66,62.53,70.97,66.49
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,GPT-5 [high],614.497,32.42,69.12,61.96,65.34,61.01,67.31,64.01
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,GPT-5-mini [high],607.324,23.21,61.46,65.59,63.46,55.84,69.14,61.78
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,GPT-4o-mini,600.151,18.43,63.81,61.16,62.46,55.00,59.88,57.34
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,CodeGemma-7B-Instruct,592.978,4.10,40.16,27.69,32.78,39.38,24.69,30.35
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Induction,Gemma-3-12B-Instruct,585.805,2.73,66.37,50.94,57.64,64.10,38.57,48.16
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,R1-Distill-Llama-8B,573.629,6.14,61.55,57.34,59.37,56.38,44.23,49.57
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,R1-Distill-Qwen-7B,566.456,0.64,41.84,18.73,25.87,36.64,13.87,20.12
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,Gemini-3-Flash [high],559.283,14.62,69.28,70.09,69.68,53.38,60.09,56.54
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,GPT-5 [high],552.110,23.94,65.33,63.25,64.27,53.21,57.93,55.47
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,GPT-5-mini [high],544.937,11.65,54.33,69.77,61.09,45.70,61.00,52.25
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,GPT-4o-mini,537.764,4.87,60.00,64.10,61.98,48.70,49.18,48.94
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,CodeGemma-7B-Instruct,530.591,0.64,48.74,30.07,37.19,43.25,22.23,29.37
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,BASE PROMPTING,,Preference Transfer,Gemma-3-12B-Instruct,523.418,0.00,60.99,51.52,55.86,59.73,37.69,46.22
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,R1-Distill-Llama-8B,486.422,40.06,67.52,57.61,62.18,67.49,55.23,60.75
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,R1-Distill-Qwen-7B,479.249,32.23,60.62,56.38,58.42,57.71,50.46,53.84
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,GPT-5 [high],472.076,59.04,70.64,61.73,65.89,73.55,65.05,69.04
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,Gemini-3-Flash [high],464.903,71.99,74.40,71.74,73.04,75.31,76.97,76.13
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,GPT-5-mini [high],457.730,56.33,71.32,66.53,68.84,73.66,66.97,70.16
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,GPT-4o-mini,450.557,51.20,75.82,69.68,72.62,70.66,67.61,69.10
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,CodeGemma-7B-Instruct,443.384,59.34,72.29,68.72,70.46,71.63,70.18,70.90
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Recall,Gemma-3-12B-Instruct,436.211,18.67,82.23,76.82,79.43,80.00,60.92,69.17
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,R1-Distill-Llama-8B,424.036,22.87,66.15,57.53,61.54,61.81,54.77,58.08
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,R1-Distill-Qwen-7B,416.863,17.75,61.68,58.20,59.89,53.60,48.79,51.09
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,GPT-5 [high],409.690,37.54,71.23,61.56,66.04,67.82,62.58,65.10
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,Gemini-3-Flash [high],402.517,29.69,72.77,67.88,70.24,64.96,70.78,67.74
Table 11,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Gemma-3-12B-it,Preference Induction,GPT-5-mini [high],395.344,30.38,71.45,64.92,68.03,66.63,63.55,65.05
