appendix_table,source_pdf,section,memory_construction_model,modeling_type,inference_model,pdf_y,p_em,ea_precision,ea_recall,ea_f1,oa_precision,oa_recall,oa_f1
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,R1-Distill-Llama-8B,585.712,45.48,68.02,57.48,62.30,69.05,56.70,62.27
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,R1-Distill-Qwen-7B,578.539,33.13,62.63,58.85,60.68,59.58,52.48,55.80
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,GPT-5 [high],571.366,54.52,70.85,62.69,66.52,71.40,64.59,67.82
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,Gemini-3-Flash [high],564.193,69.28,73.80,71.88,72.83,73.93,77.52,75.68
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,GPT-5-mini [high],557.020,56.33,70.44,65.71,67.99,71.04,67.06,68.99
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,GPT-4o-mini,549.847,50.90,76.21,69.00,72.43,70.26,67.61,68.91
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,CodeGemma-7B-Instruct,542.674,59.04,70.63,65.98,68.23,70.73,68.72,69.71
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Recall,Gemma-3-12B-Instruct,535.501,21.39,82.60,76.82,79.60,81.73,60.73,69.68
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,R1-Distill-Llama-8B,523.326,21.50,68.90,58.06,63.02,61.83,55.93,58.73
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,R1-Distill-Qwen-7B,516.153,18.09,61.79,57.39,59.51,54.18,49.37,51.67
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,Gemini-3-Flash [high],508.980,30.38,73.12,68.01,70.47,64.47,70.68,67.43
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,GPT-5 [high],501.807,36.86,71.25,61.29,65.90,66.02,62.20,64.05
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,GPT-5-mini [high],494.634,32.76,70.99,64.78,67.74,65.43,64.42,64.92
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,GPT-4o-mini,487.461,29.35,74.66,67.34,70.81,64.18,66.35,65.24
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,CodeGemma-7B-Instruct,480.288,15.36,67.04,64.78,65.89,59.42,61.72,60.55
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Induction,Gemma-3-12B-Instruct,473.115,5.80,79.60,69.22,74.05,77.29,52.84,62.77
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,R1-Distill-Llama-8B,460.939,4.24,59.40,47.86,53.01,52.01,36.84,43.13
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,R1-Distill-Qwen-7B,453.766,2.33,51.99,43.67,47.47,43.71,32.80,37.48
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,GPT-5 [high],446.593,26.48,71.16,64.02,67.40,63.61,55.54,59.30
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,Gemini-3-Flash [high],439.420,18.01,70.88,69.77,70.32,57.93,60.60,59.24
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,GPT-5-mini [high],432.247,19.70,68.26,64.49,66.32,60.48,54.46,57.31
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,GPT-4o-mini,425.074,8.26,70.20,70.47,70.34,59.05,54.92,56.91
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,CodeGemma-7B-Instruct,417.901,1.48,67.42,67.52,67.47,57.26,51.34,54.14
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Llama-8B,Preference Transfer,Gemma-3-12B-Instruct,410.728,0.21,76.46,75.21,75.83,76.24,55.09,63.96
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,R1-Distill-Llama-8B,373.732,40.36,68.05,58.44,62.88,68.74,55.69,61.53
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,R1-Distill-Qwen-7B,366.559,30.12,59.36,55.69,57.47,57.11,48.99,52.74
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,GPT-5 [high],359.386,48.49,72.24,62.83,67.20,72.06,62.94,67.19
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,Gemini-3-Flash [high],352.213,60.54,74.08,71.74,72.89,73.51,74.59,74.04
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,GPT-5-mini [high],345.040,50.30,70.43,66.67,68.50,70.36,65.78,67.99
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,GPT-4o-mini,337.867,49.40,75.89,70.37,73.02,69.52,67.16,68.32
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,CodeGemma-7B-Instruct,330.694,60.54,72.28,66.53,69.29,72.20,69.08,70.60
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Recall,Gemma-3-12B-Instruct,323.521,18.67,82.89,76.41,79.51,81.45,59.63,68.86
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,R1-Distill-Llama-8B,311.346,20.14,65.91,58.74,62.12,60.71,54.68,57.53
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,R1-Distill-Qwen-7B,304.173,18.09,58.47,56.59,57.51,53.16,49.47,51.25
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,GPT-5 [high],297.000,36.86,71.81,61.29,66.13,66.33,62.01,65.02
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,Gemini-3-Flash [high],289.827,30.38,72.93,66.26,69.44,65.77,68.18,66.95
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,GPT-5-mini [high],282.654,29.69,71.18,65.05,67.98,66.10,63.93,65.00
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,GPT-4o-mini,275.481,27.99,74.59,67.88,71.08,63.68,65.77,64.71
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,CodeGemma-7B-Instruct,268.308,15.70,66.30,64.78,65.53,59.76,61.72,60.72
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Induction,Gemma-3-12B-Instruct,261.135,5.80,79.75,69.89,74.50,76.85,54.10,63.50
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,R1-Distill-Llama-8B,248.959,4.66,57.84,47.86,52.38,51.75,37.01,43.16
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,R1-Distill-Qwen-7B,241.786,3.81,50.91,43.51,46.92,43.09,32.97,37.36
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,GPT-5 [high],234.613,25.64,70.92,63.87,67.21,64.99,55.09,59.63
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,Gemini-3-Flash [high],227.440,19.92,71.26,69.93,70.59,60.37,60.72,60.54
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,GPT-5-mini [high],220.267,22.25,69.82,65.97,67.84,62.62,56.28,59.28
Table 12,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,R1-Distill-Qwen-7B,Preference Transfer,GPT-4o-mini,213.094,10.17,69.43,70.24,69.83,59.37,55.49,57.36
