appendix_table,source_pdf,section,modeling_type,inference_model,pdf_y,gemma_3_12b_it_precision,gemma_3_12b_it_recall,gemma_3_12b_it_f1,gpt_4o_mini_precision,gpt_4o_mini_recall,gpt_4o_mini_f1,r1_llama_8b_precision,r1_llama_8b_recall,r1_llama_8b_f1,r1_qwen_7b_precision,r1_qwen_7b_recall,r1_qwen_7b_f1
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,R1-Distill-Llama-8B,683.927,43.87,73.41,54.92,44.58,70.64,54.66,45.41,71.19,55.45,44.75,72.02,55.20
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,R1-Distill-Qwen-7B,676.754,33.63,51.52,40.70,38.06,63.16,47.50,37.05,57.06,44.93,36.22,59.00,44.89
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,Gemini-3-Flash [high],669.581,73.47,86.70,79.54,67.10,85.87,75.33,70.94,85.87,77.69,73.87,81.44,77.47
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,CodeGemma-7B-it,662.408,34.66,82.27,48.77,35.59,81.44,49.54,35.44,80.89,49.28,35.68,80.06,49.36
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,Gemma-3-12b-it,655.235,76.90,67.31,71.79,74.43,63.71,68.66,76.70,65.65,70.75,76.87,59.83,67.29
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,GPT-5-mini [high],648.062,81.89,83.93,82.90,65.22,83.10,73.08,73.14,84.49,78.41,73.50,81.44,77.27
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Recall,GPT-4o-mini,640.889,63.74,64.27,64.00,58.82,72.02,64.76,63.40,68.14,65.69,61.73,63.43,62.57
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,R1-Distill-Llama-8B,628.714,27.76,60.07,37.97,30.99,67.58,42.49,28.67,58.02,38.38,29.30,60.41,39.47
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,R1-Distill-Qwen-7B,621.541,28.06,48.46,35.54,28.34,52.90,36.90,27.01,47.10,34.33,25.68,51.19,34.21
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,Gemini-3-Flash [high],614.368,51.24,84.64,63.84,48.98,81.57,61.20,51.17,82.25,63.09,53.92,79.86,64.37
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,CodeGemma-7B-it,607.195,23.41,75.43,35.73,28.23,77.47,41.39,48.68,50.17,49.41,27.11,75.77,39.93
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,Gemma-3-12b-it,600.021,51.47,53.92,52.67,54.31,58.02,56.11,48.54,73.72,58.54,52.52,49.83,51.14
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,GPT-5-mini [high],592.848,53.71,74.06,62.27,52.16,82.25,63.84,50.71,73.38,59.97,54.37,76.45,63.55
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Induction,GPT-4o-mini,585.675,49.87,66.55,57.02,52.68,83.96,64.74,48.54,73.72,58.54,50.24,72.01,59.19
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,R1-Distill-Llama-8B,573.500,8.27,12.50,9.96,10.86,15.25,12.69,7.02,10.81,8.51,10.27,15.89,12.48
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,R1-Distill-Qwen-7B,566.327,10.42,14.62,12.17,13.95,22.67,17.27,9.69,14.62,11.66,10.48,16.74,12.89
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,Gemini-3-Flash [high],559.154,28.93,36.65,32.34,32.66,44.28,37.59,29.34,38.35,33.24,34.63,41.53,37.76
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,CodeGemma-7B-it,551.981,7.33,18.86,10.55,9.12,21.82,12.86,6.51,16.31,9.31,7.53,18.64,10.73
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,Gemma-3-12b-it,544.808,14.41,7.20,9.60,11.15,6.57,8.27,9.09,4.87,6.35,14.56,6.36,8.85
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,GPT-5-mini [high],537.635,26.34,20.76,23.22,30.49,38.56,34.05,27.42,29.45,28.40,34.25,31.78,32.97
Table 13,8. Latent_Preference_Modeling_for_Cross_Session_Personalized_Tool_Calling.pdf,PREFINE,Preference Transfer,GPT-4o-mini,530.462,16.78,15.47,16.10,24.19,33.05,27.93,17.42,18.86,18.11,24.33,25.00,24.66
