avg_construction_total_tokens_est,avg_construction_total_tokens_lower_bound,avg_implicit_pref_only_tokens_after_session,avg_memory_payload_tokens,avg_model_input_tokens_est,avg_model_input_tokens_provider,avg_retrieved_memory_tokens,avg_stored_memory_tokens_after_session,context_type,median_construction_total_tokens_est,median_construction_total_tokens_lower_bound,median_implicit_pref_only_tokens_after_session,median_memory_payload_tokens,median_model_input_tokens_est,median_model_input_tokens_provider,median_retrieved_memory_tokens,median_stored_memory_tokens_after_session,method,n,summary_type,turn_type
,585.8777227722773,,,,,,1298.5604950495049,,,570.0,,,,,,1171.0,langmem,10100,construction_by_method,
,366.3619246861925,,,,,,289.5655509065551,,,351.0,,,,,,273.0,mem0,1434,construction_by_method,
4118.370379537954,4118.370379537954,23.70239273927393,,,,,122.7595709570957,,3964.0,3964.0,23.0,,,,,120.0,ours_memory,12120,construction_by_method,
,,,225.74741107609185,4346.424583520937,4371.429970617042,225.74741107609185,,memory_api,,,,223.0,4092.0,4100.0,223.0,,langmem,2221,inference_by_method_turn_context,multi
,,,215.5770884987097,2288.7226129636188,2301.335904853745,215.5770884987097,,memory_api,,,,217.0,2360.0,2377.0,217.0,,langmem,19763,inference_by_method_turn_context,single
,,,133.06107566089335,3862.1814038286234,3862.1814038286234,133.06107566089335,,memory_only,,,,131.0,3863.0,3863.0,131.0,,mem0,1097,inference_by_method_turn_context,multi
,,,109.92251595259799,1931.7903372835005,1931.7903372835005,109.92251595259799,,memory_api,,,,106.0,1929.0,1929.0,106.0,,mem0,1097,inference_by_method_turn_context,single
,,,109.31188118811882,1931.2237623762376,1931.2237623762376,109.31188118811882,,memory_diag,,,,106.0,1928.0,1928.0,106.0,,mem0,1010,inference_by_method_turn_context,single
,,,109.92251595259799,1931.7903372835005,1931.7903372835005,109.92251595259799,,memory_only,,,,106.0,1929.0,1929.0,106.0,,mem0,1097,inference_by_method_turn_context,single
,,,119.68623518687329,4313.160255241568,,521.7454876937102,,memory_api,,,,119.0,4318.0,,527.0,,ours_memory,21940,inference_by_method_turn_context,multi
,,,119.68623518687329,3915.101002734731,,123.68623518687329,,memory_only,,,,119.0,3916.0,,123.0,,ours_memory,21940,inference_by_method_turn_context,multi
,,,119.68623518687329,2336.791066545123,,521.7454876937102,,memory_api,,,,119.0,2341.0,,527.0,,ours_memory,21940,inference_by_method_turn_context,single
,,,119.68623518687329,1938.7318140382863,,123.68623518687329,,memory_only,,,,119.0,1938.0,,123.0,,ours_memory,21940,inference_by_method_turn_context,single
