memory_model_norm,pref_type,action_model,tp_0312_MEMORY1_max10,fp_0312_MEMORY1_max10,fn_0312_MEMORY1_max10,precision_0312_MEMORY1_max10,recall_0312_MEMORY1_max10,f1_0312_MEMORY1_max10,pref_em_0312_MEMORY1_max10,pref_em_count_0312_MEMORY1_max10,n_examples_0312_MEMORY1_max10,tp_1231_MEMORY3_max3,fp_1231_MEMORY3_max3,fn_1231_MEMORY3_max3,precision_1231_MEMORY3_max3,recall_1231_MEMORY3_max3,f1_1231_MEMORY3_max3,pref_em_1231_MEMORY3_max3,pref_em_count_1231_MEMORY3_max3,n_examples_1231_MEMORY3_max3,f1_diff,pref_em_diff
Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,608,281,482,0.683915,0.557798,0.614452,0.445783,148,332,635,292,455,0.6850053937432579,0.5825688073394495,0.6296479920674268,0.4397590361445783,146,332,-0.015195992067426833,0.006023963855421699
Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,542,410,548,0.569328,0.497248,0.530852,0.283133,94,332,597,465,493,0.5621468926553672,0.5477064220183486,0.5548327137546469,0.3644578313253012,121,332,-0.023980713754646943,-0.08132483132530116
Qwen3-8B,easy,google_gemma-3-12b-it,637,158,453,0.801258,0.584404,0.675862,0.195783,65,332,639,171,451,0.7888888888888889,0.5862385321100917,0.6726315789473684,0.2198795180722891,73,332,0.0032304210526316046,-0.024096518072289075
Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,659,574,1100,0.534469,0.374645,0.440508,0.055085,26,472,645,632,1114,0.5050900548159749,0.366685616827743,0.4249011857707509,0.048728813559322,23,472,0.015606814229249089,0.006356186440678001
Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,616,810,1143,0.431978,0.350199,0.386813,0.029661,14,472,576,864,1183,0.4,0.3274587833996589,0.3601125351672397,0.0423728813559322,20,472,0.02670046483276034,-0.012711881355932202
Qwen3-8B,hard,google_gemma-3-12b-it,972,299,787,0.764752,0.552587,0.641584,0.004237,2,472,846,422,913,0.667192429022082,0.480955088118249,0.5589692765113974,0.0021186440677966,1,472,0.08261472348860266,0.0021183559322034
Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,559,343,478,0.619734,0.539055,0.576586,0.232082,68,293,597,362,440,0.6225234619395204,0.5756991321118612,0.5981963927855711,0.2457337883959044,72,293,-0.021610392785571086,-0.01365178839590439
Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,476,450,561,0.514039,0.459016,0.484972,0.133106,39,293,545,453,492,0.5460921843687375,0.5255544840887174,0.5356265356265356,0.1979522184300341,58,293,-0.0506545356265356,-0.0648462184300341
Qwen3-8B,medium,google_gemma-3-12b-it,545,166,492,0.766526,0.525554,0.62357,0.054608,16,293,541,190,496,0.7400820793433652,0.5216972034715526,0.6119909502262443,0.0580204778156996,17,293,0.011579049773755679,-0.003412477815699602
DeepSeek-R1-0528-Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,613,266,477,0.697383,0.562385,0.622651,0.403614,134,332,615,302,475,0.6706652126499455,0.5642201834862385,0.6128550074738415,0.4246987951807229,141,332,0.009795992526158481,-0.021084795180722926
DeepSeek-R1-0528-Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,512,439,578,0.538381,0.469725,0.501715,0.26506,88,332,546,456,544,0.5449101796407185,0.5009174311926605,0.5219885277246654,0.3253012048192771,108,332,-0.020273527724665397,-0.06024120481927708
DeepSeek-R1-0528-Qwen3-8B,easy,google_gemma-3-12b-it,657,152,433,0.812114,0.602752,0.691943,0.195783,65,332,630,160,460,0.7974683544303798,0.5779816513761468,0.6702127659574467,0.2018072289156626,67,332,0.021730234042553254,-0.006024228915662594
DeepSeek-R1-0528-Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,711,592,1048,0.545664,0.404207,0.464402,0.084746,40,472,674,686,1085,0.4955882352941176,0.3831722569641842,0.432189804424495,0.048728813559322,23,472,0.032212195575504976,0.036017186440678
DeepSeek-R1-0528-Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,564,846,1195,0.4,0.320637,0.355948,0.03178,15,472,602,902,1157,0.4002659574468085,0.3422399090392268,0.3689855960772295,0.048728813559322,23,472,-0.01303759607722954,-0.016948813559322
DeepSeek-R1-0528-Qwen3-8B,hard,google_gemma-3-12b-it,971,307,788,0.759781,0.552018,0.639447,0.004237,2,472,847,432,912,0.6622361219702892,0.4815235929505401,0.5576036866359447,0.0042372881355932,2,472,0.08184331336405526,-2.881355932000604e-07
DeepSeek-R1-0528-Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,545,374,492,0.593036,0.525554,0.55726,0.191126,56,293,583,350,454,0.62486602357985,0.562198649951784,0.5918781725888326,0.2457337883959044,72,293,-0.034618172588832596,-0.05460778839590441
DeepSeek-R1-0528-Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,495,449,542,0.524364,0.477338,0.499748,0.1843,54,293,535,473,502,0.5307539682539683,0.5159112825458052,0.5232273838630808,0.1911262798634812,56,293,-0.02347938386308074,-0.006826279863481222
DeepSeek-R1-0528-Qwen3-8B,medium,google_gemma-3-12b-it,560,171,477,0.766074,0.540019,0.633484,0.054608,16,293,536,186,501,0.7423822714681441,0.5168756027000965,0.6094371802160319,0.0546075085324232,16,293,0.024046819783968165,4.914675767950238e-07
DeepSeek-R1-Distill-Llama-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,606,293,484,0.674082,0.555963,0.609351,0.442771,147,332,653,274,437,0.7044228694714132,0.5990825688073395,0.6474962816063461,0.4849397590361445,161,332,-0.038145281606346115,-0.042168759036144476
DeepSeek-R1-Distill-Llama-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,547,426,543,0.562179,0.501835,0.530296,0.304217,101,332,615,405,475,0.6029411764705882,0.5642201834862385,0.5829383886255923,0.3674698795180723,122,332,-0.05264238862559234,-0.06325287951807229
DeepSeek-R1-Distill-Llama-8B,easy,google_gemma-3-12b-it,665,141,425,0.825062,0.610092,0.701477,0.204819,68,332,631,162,459,0.7957124842370744,0.5788990825688073,0.6702071163037706,0.2259036144578313,75,332,0.031269883696229406,-0.021084614457831302
DeepSeek-R1-Distill-Llama-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,636,570,1123,0.527363,0.361569,0.429005,0.040254,19,472,662,685,1097,0.4914625092798812,0.3763501989766913,0.4262717321313586,0.0635593220338983,30,472,0.0027332678686414202,-0.023305322033898304
DeepSeek-R1-Distill-Llama-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,599,800,1160,0.428163,0.340534,0.379354,0.025424,12,472,564,843,1195,0.4008528784648187,0.320636725412166,0.3562855337965888,0.0338983050847457,16,472,0.023068466203411242,-0.008474305084745701
DeepSeek-R1-Distill-Llama-8B,hard,google_gemma-3-12b-it,966,300,793,0.763033,0.549176,0.638678,0.002119,1,472,829,436,930,0.6553359683794466,0.4712905059693007,0.5482804232804233,0.0021186440677966,1,472,0.09039757671957671,3.559322033996025e-07
DeepSeek-R1-Distill-Llama-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,569,375,468,0.602754,0.548698,0.574457,0.228669,67,293,593,396,444,0.5995955510616785,0.5718418514946962,0.5853899308983219,0.2286689419795221,67,293,-0.010932930898321924,5.802047792213827e-08
DeepSeek-R1-Distill-Llama-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,523,419,514,0.555202,0.504339,0.52855,0.197952,58,293,535,482,502,0.5260570304818093,0.5159112825458052,0.5209347614410905,0.2252559726962457,66,293,0.007615238558909443,-0.02730397269624571
DeepSeek-R1-Distill-Llama-8B,medium,google_gemma-3-12b-it,555,159,482,0.777311,0.535198,0.633923,0.075085,22,293,526,183,511,0.7418899858956276,0.5072324011571842,0.6025200458190149,0.0614334470989761,18,293,0.031402954180985154,0.013651552901023899
gemma-3-12b-it,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,593,291,497,0.670814,0.544037,0.600811,0.421687,140,332,641,268,449,0.7051705170517052,0.5880733944954128,0.6413206603301651,0.4578313253012048,152,332,-0.04050966033016512,-0.036144325301204816
gemma-3-12b-it,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,519,451,571,0.535052,0.476147,0.503883,0.274096,91,332,538,454,552,0.5423387096774194,0.4935779816513762,0.5168107588856868,0.3012048192771084,100,332,-0.012927758885686869,-0.027108819277108398
gemma-3-12b-it,easy,google_gemma-3-12b-it,662,165,428,0.800484,0.607339,0.690662,0.189759,63,332,660,169,430,0.7961399276236429,0.6055045871559633,0.6878582595101617,0.2138554216867469,71,332,0.0028037404898383356,-0.02409642168674689
gemma-3-12b-it,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,654,593,1105,0.524459,0.371802,0.43513,0.059322,28,472,644,615,1115,0.511517077045274,0.3661171119954519,0.4267726971504307,0.048728813559322,23,472,0.008357302849569315,0.010593186440677999
gemma-3-12b-it,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,583,828,1176,0.413182,0.331438,0.367823,0.048729,23,472,582,850,1177,0.4064245810055866,0.3308698123934053,0.3647759323096208,0.0614406779661017,29,472,0.0030470676903792127,-0.012711677966101696
gemma-3-12b-it,hard,google_gemma-3-12b-it,955,326,804,0.745511,0.542922,0.628289,0.004237,2,472,889,391,870,0.69453125,0.5054007959067652,0.5850608752879237,0.0021186440677966,1,472,0.043228124712076266,0.0021183559322034
gemma-3-12b-it,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,571,368,466,0.608094,0.550627,0.577935,0.204778,60,293,577,381,460,0.6022964509394572,0.5564127290260367,0.5784461152882205,0.2116040955631399,62,293,-0.000511115288220565,-0.0068260955631399
gemma-3-12b-it,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,487,453,550,0.518085,0.469624,0.492666,0.156997,46,293,506,460,531,0.5238095238095238,0.4879459980713597,0.5052421367948078,0.2354948805460751,69,293,-0.01257613679480779,-0.0784978805460751
gemma-3-12b-it,medium,google_gemma-3-12b-it,562,199,475,0.738502,0.541948,0.625139,0.030717,9,293,557,204,480,0.7319316688567674,0.5371263259402121,0.6195773081201335,0.0443686006825938,13,293,0.005561691879866548,-0.0136516006825938
gpt-4o-mini,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,611,272,479,0.691959,0.56055,0.619361,0.427711,142,332,628,310,462,0.6695095948827292,0.5761467889908257,0.6193293885601577,0.4307228915662651,143,332,3.161143984231618e-05,-0.003011891566265079
gpt-4o-mini,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,598,415,492,0.590326,0.548624,0.568711,0.361446,120,332,580,411,510,0.5852674066599395,0.5321100917431193,0.5574243152330611,0.3403614457831325,113,332,0.011286684766938837,0.0210845542168675
gpt-4o-mini,easy,google_gemma-3-12b-it,670,148,420,0.819071,0.614679,0.702306,0.21988,73,332,638,169,452,0.7905824039653035,0.5853211009174312,0.6726410121244069,0.2289156626506024,76,332,0.02966498787559313,-0.009035662650602405
gpt-4o-mini,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,687,568,1072,0.54741,0.390563,0.455873,0.072034,34,472,683,640,1076,0.5162509448223734,0.3882888004548038,0.4432186891628812,0.0508474576271186,24,472,0.012654310837118765,0.021186542372881402
gpt-4o-mini,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,631,767,1128,0.451359,0.358727,0.399747,0.029661,14,472,589,812,1170,0.4204139900071377,0.3348493462194428,0.3727848101265822,0.0423728813559322,20,472,0.026962189873417808,-0.012711881355932202
gpt-4o-mini,hard,google_gemma-3-12b-it,948,327,811,0.743529,0.538943,0.624918,0.002119,1,472,831,439,928,0.6543307086614173,0.4724275156338829,0.5486959392538792,0.0021186440677966,1,472,0.07622206074612081,3.559322033996025e-07
gpt-4o-mini,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,583,351,454,0.624197,0.562199,0.591578,0.225256,66,293,603,359,434,0.6268191268191268,0.5814850530376084,0.6033016508254125,0.2559726962457337,75,293,-0.01172365082541249,-0.0307166962457337
gpt-4o-mini,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,511,414,526,0.552432,0.492768,0.520897,0.143345,42,293,548,421,489,0.5655314757481941,0.5284474445515911,0.5463609172482553,0.2252559726962457,66,293,-0.025463917248255252,-0.0819109726962457
gpt-4o-mini,medium,google_gemma-3-12b-it,565,167,472,0.771858,0.544841,0.638779,0.088737,26,293,535,180,502,0.7482517482517482,0.5159112825458052,0.610730593607306,0.1023890784982935,30,293,0.028048406392694014,-0.013652078498293502
