session_index,n_examples,avg_before_memory_tokens,avg_after_memory_tokens,avg_delta_memory_tokens,median_after_memory_tokens,min_after_memory_tokens,max_after_memory_tokens,avg_dialogue_tokens,memory_vs_dialogue_ratio
1,192,0.0,65.34375,65.34375,63.0,0,169,292.66,0.2233
2,192,65.58333333333333,129.33333333333334,63.75,122.0,48,288,570.52,0.2267
3,191,129.13612565445027,198.56020942408378,69.42408376963351,195.0,81,371,880.25,0.2256
4,190,198.65263157894736,264.2578947368421,65.60526315789474,257.5,121,441,1171.82,0.2255
5,190,264.2473684210526,330.55263157894734,66.30526315789474,327.0,190,568,1479.08,0.2235
6,158,332.45569620253167,396.6898734177215,64.23417721518987,390.0,249,659,1770.11,0.2241
7,127,395.3937007874016,454.38582677165357,58.99212598425197,455.0,295,731,2012.16,0.2258
8,99,449.74747474747477,513.0505050505051,63.303030303030305,510.0,337,858,2294.95,0.2236
9,63,504.12698412698415,566.7142857142857,62.58730158730159,554.0,411,761,2610.79,0.2171
10,32,566.8125,626.28125,59.46875,613.5,490,879,2836.34,0.2208
