example_index,example_id,session_index,dialogue_id,dialogue_turns,api_call_count,session_input_tokens,before_memory_count,after_memory_count,before_memory_tokens,after_memory_tokens,delta_memory_count,delta_memory_tokens,add_event_ids,add_event_statuses,status,error
0,dev_0003,0,15_00034,22,2,429,0,2,0,70,2,70,"[""a424561b-a512-441a-9af9-6858c3eb1949""]","[""SUCCEEDED""]",OK,
0,dev_0003,1,2_00055,16,1,410,2,3,70,95,1,25,"[""01b40890-44ee-4357-8d2b-975e3811acb0""]","[""SUCCEEDED""]",OK,
0,dev_0003,2,15_00056,22,2,293,3,5,95,186,2,91,"[""7676c9aa-75b5-4d6f-a2dc-bd39e1379883""]","[""SUCCEEDED""]",OK,
0,dev_0003,3,15_00070,18,2,343,5,7,186,255,2,69,"[""047ac38d-8673-4781-a176-03cf24affd31""]","[""SUCCEEDED""]",OK,
0,dev_0003,4,11_00121,32,2,459,7,10,255,393,3,138,"[""993f17ef-147d-41ac-9b5d-30d42e2ee3db""]","[""SUCCEEDED""]",OK,
0,dev_0003,5,15_00100,20,2,280,10,12,393,440,2,47,"[""6eb35a5e-586a-4a90-916f-98a33c526809""]","[""SUCCEEDED""]",OK,
0,dev_0071,0,1_00025,14,1,282,0,4,0,81,4,81,"[""eb63e218-4496-4a5b-9da5-a69d4d590e3a""]","[""SUCCEEDED""]",OK,
0,dev_0071,1,16_00103,20,2,200,4,6,81,130,2,49,"[""3102892f-64e6-4114-9dcb-9647062e3cda""]","[""SUCCEEDED""]",OK,
0,dev_0071,2,16_00091,18,2,355,6,9,130,204,3,74,"[""5de2d22c-a26a-4321-b3a4-ee6cf9fb9fe1""]","[""SUCCEEDED""]",OK,
0,dev_0071,3,12_00001,30,2,549,9,14,204,339,5,135,"[""f5718193-c772-4dfe-ae6f-5d0e599320b4""]","[""SUCCEEDED""]",OK,
0,dev_0071,4,9_00014,24,2,292,14,17,339,410,3,71,"[""0cf10715-5b9d-418a-9f3f-2f4249bc48c6""]","[""SUCCEEDED""]",OK,
0,dev_0071,5,9_00025,30,2,339,17,21,410,495,4,85,"[""85d4bbcc-ce1e-458e-ab77-f1f5b3d2e15a""]","[""SUCCEEDED""]",OK,
0,dev_0071,6,2_00000,10,1,107,21,22,495,508,1,13,"[""85c01a7f-21c2-4832-8cfa-e1f1ae81221f""]","[""SUCCEEDED""]",OK,
0,dev_0071,7,18_00052,32,3,407,22,25,508,617,3,109,"[""c99e0bef-ab81-4307-8976-fab0ceb277a8""]","[""SUCCEEDED""]",OK,
0,dev_0071,8,5_00084,10,1,128,25,27,617,635,2,18,"[""dcf5af06-caf0-4ea2-9794-24de8ae59697""]","[""SUCCEEDED""]",OK,
0,dev_0071,9,11_00015,18,2,234,27,30,635,695,3,60,"[""1a3b34a4-bcd0-4fc8-932f-5f7af71246ff""]","[""SUCCEEDED""]",OK,
0,dev_0117,0,20_00008,20,2,289,0,5,0,85,5,85,"[""aceaa6ce-e78b-4a1e-ae09-ed19e7266dc2""]","[""SUCCEEDED""]",OK,
0,dev_0117,1,2_00101,20,1,255,5,10,85,198,5,113,"[""a07e231d-2514-4813-bd07-2dc8596294ac""]","[""SUCCEEDED""]",OK,
0,dev_0117,2,12_00097,20,2,250,10,13,198,260,3,62,"[""76e2dac9-dddc-4832-b6c4-0bf052f8854d""]","[""SUCCEEDED""]",OK,
0,dev_0117,3,15_00061,20,2,400,13,15,260,350,2,90,"[""43c439cc-765f-4031-ac79-9a6112275050""]","[""SUCCEEDED""]",OK,
0,dev_0117,4,10_00116,24,2,281,15,17,350,378,2,28,"[""dbf1012a-614a-46fd-b6f5-286844765958""]","[""SUCCEEDED""]",OK,
0,dev_0117,5,17_00108,30,2,429,17,20,378,464,3,86,"[""04fa8e24-c6cc-4efa-8b73-291b457f5412""]","[""SUCCEEDED""]",OK,
0,dev_0117,6,2_00050,14,1,302,20,22,464,524,2,60,"[""ba7fd562-ea3f-47eb-bd50-b29effbe6984""]","[""SUCCEEDED""]",OK,
0,dev_0169,0,19_00045,22,2,419,0,6,0,103,6,103,"[""5e8a0697-b9e3-49d5-a8c6-478033544d4d""]","[""SUCCEEDED""]",OK,
0,dev_0169,1,2_00047,14,1,227,6,8,103,150,2,47,"[""91faa93c-32ad-4bf6-b23f-04fb7f695eac""]","[""SUCCEEDED""]",OK,
0,dev_0169,2,12_00007,22,2,383,8,7,150,136,-1,-14,"[""f8d2b2f1-1a19-4c88-bd23-e54f2f4b6564""]","[""SUCCEEDED""]",OK,
0,dev_0169,3,20_00034,28,3,578,7,11,136,207,4,71,"[""483920d7-46f6-4807-a309-64388c16c3d1""]","[""SUCCEEDED""]",OK,
0,dev_0169,4,11_00081,28,1,322,11,14,207,306,3,99,"[""45610c7c-0b07-4dbb-a998-eeeb192901e6""]","[""SUCCEEDED""]",OK,
0,dev_0169,5,7_00021,10,1,124,14,15,306,324,1,18,"[""e562f8ca-4e0d-4a76-9a2d-2415fcce61e7""]","[""SUCCEEDED""]",OK,
0,dev_0219,0,18_00078,20,2,331,0,3,0,74,3,74,"[""7495252e-4259-4aab-9e1d-13e7375c63c3""]","[""SUCCEEDED""]",OK,
0,dev_0219,1,16_00049,28,2,458,3,8,74,191,5,117,"[""261bf879-1945-4d15-82cf-4159a9b6afd9""]","[""SUCCEEDED""]",OK,
0,dev_0219,2,2_00061,18,1,273,8,9,191,241,1,50,"[""debc99bc-631c-457e-811b-13193a20df0a""]","[""SUCCEEDED""]",OK,
0,dev_0219,3,5_00105,12,0,109,9,14,241,288,5,47,"[""5fd1da07-86d3-4080-a11e-546d93143ba3""]","[""SUCCEEDED""]",OK,
0,dev_0219,4,18_00021,40,2,660,14,21,288,451,7,163,"[""f8358922-fd01-45ec-8e4b-dccfc8def51b""]","[""SUCCEEDED""]",OK,
0,dev_0219,5,8_00061,22,2,310,21,23,451,506,2,55,"[""5e096c4a-906d-4945-b079-372076c8f5a0""]","[""SUCCEEDED""]",OK,
0,dev_0219,6,10_00064,20,1,214,23,30,506,579,7,73,"[""9edc095f-a3ef-47cf-942c-8335b70ecc39""]","[""SUCCEEDED""]",OK,
0,dev_0219,7,19_00091,28,2,284,30,33,579,691,3,112,"[""fc50b33c-b14d-4ecc-b2f2-8e386633d0b3""]","[""SUCCEEDED""]",OK,
0,dev_0219,8,6_00086,20,1,275,33,35,691,747,2,56,"[""ffa968e4-8b3f-4e08-a262-48c3f5ad18d1""]","[""SUCCEEDED""]",OK,
0,dev_0219,9,19_00114,20,2,308,35,37,747,806,2,59,"[""9bedbb61-0545-40fe-b38c-defd30ba57bd""]","[""SUCCEEDED""]",OK,
0,dev_0278,0,8_00114,14,2,145,0,2,0,41,2,41,"[""8ea68e24-aded-44b3-9018-ee8d28765cf3""]","[""SUCCEEDED""]",OK,
0,dev_0278,1,2_00038,10,1,142,2,3,41,64,1,23,"[""3cbd6b36-7b96-4fea-ae71-e6a3e1460114""]","[""SUCCEEDED""]",OK,
0,dev_0278,2,2_00002,14,1,219,3,4,64,81,1,17,"[""0638b4a9-fc28-45cd-9c60-51b89016fe61""]","[""SUCCEEDED""]",OK,
0,dev_0278,3,18_00014,46,2,575,4,9,81,178,5,97,"[""804b84d5-4d0b-469d-a655-13914bc994d5""]","[""SUCCEEDED""]",OK,
0,dev_0278,4,14_00039,22,2,330,9,13,178,275,4,97,"[""f9a62312-8157-402e-90c2-166da5de5e7c""]","[""SUCCEEDED""]",OK,
0,dev_0278,5,1_00071,8,1,201,13,15,275,316,2,41,"[""7fc8dd23-ffe6-4413-ab63-1e62a0801b08""]","[""SUCCEEDED""]",OK,
0,dev_0278,6,15_00124,30,3,457,15,18,316,442,3,126,"[""96566528-f5eb-4674-9214-62db82347fec""]","[""SUCCEEDED""]",OK,
0,dev_0278,7,1_00047,14,1,216,18,19,442,503,1,61,"[""4bf1b86e-a623-4737-a4b1-5987aa3bfdf0""]","[""SUCCEEDED""]",OK,
1,dev_0004,0,15_00038,22,2,383,0,2,0,86,2,86,"[""44214e57-5fca-4268-bf82-1db5b480259a""]","[""SUCCEEDED""]",OK,
1,dev_0004,1,15_00071,24,2,387,2,4,63,123,2,60,"[""ed4fcba8-594c-4753-a242-3b787cf20c80""]","[""SUCCEEDED""]",OK,
1,dev_0072,0,19_00125,16,2,251,0,3,0,44,3,44,"[""0609e62c-2ceb-48c0-8464-ac6cb86fb39f""]","[""SUCCEEDED""]",OK,
1,dev_0072,1,12_00039,24,2,402,3,5,44,108,2,64,"[""94db253c-b309-4abf-bc07-decd22fe5de9""]","[""SUCCEEDED""]",OK,
1,dev_0072,2,18_00007,40,2,674,5,13,108,279,8,171,"[""aae2bf27-8a50-4c7f-b9da-6b952f9eee1d""]","[""SUCCEEDED""]",OK,
1,dev_0072,3,19_00083,34,2,412,13,16,279,401,3,122,"[""7d3d1b86-d58d-45be-80ae-bbc92f4a714c""]","[""SUCCEEDED""]",OK,
1,dev_0072,4,18_00006,46,2,567,16,18,401,487,2,86,"[""3c0273c0-1726-4632-ab41-a0562938ad7e""]","[""SUCCEEDED""]",OK,
1,dev_0072,5,4_00099,14,1,282,18,19,487,534,1,47,"[""89a2902b-332a-47db-8f9e-6bd66ab7efe9""]","[""SUCCEEDED""]",OK,
1,dev_0118,0,17_00122,34,2,375,0,4,0,89,4,89,"[""effe802d-a2b6-46a1-b7c2-374dccfeb65d""]","[""SUCCEEDED""]",OK,
1,dev_0118,1,12_00067,30,2,398,4,8,89,236,4,147,"[""0099fe84-3233-45fb-ae65-d37d2332110e""]","[""SUCCEEDED""]",OK,
1,dev_0118,2,15_00008,32,3,596,8,11,236,340,3,104,"[""38c0ee57-d6c6-4e3d-a7aa-9d5e91030c45""]","[""SUCCEEDED""]",OK,
1,dev_0118,3,5_00121,12,1,135,11,12,340,353,1,13,"[""2052362b-4a62-473a-a7d9-242d12a8989c""]","[""SUCCEEDED""]",OK,
1,dev_0118,4,14_00040,24,2,329,12,16,353,437,4,84,"[""1f638175-15e6-48ad-9d60-c01711f18369""]","[""SUCCEEDED""]",OK,
1,dev_0118,5,9_00077,14,2,276,16,18,437,482,2,45,"[""0a54d49a-a1b3-400b-98d5-40948710857e""]","[""SUCCEEDED""]",OK,
1,dev_0118,6,11_00018,24,2,259,18,21,482,556,3,74,"[""3775218c-a4ea-4a7f-9c73-2a40f21616f5""]","[""SUCCEEDED""]",OK,
1,dev_0118,7,4_00100,12,1,233,21,22,556,592,1,36,"[""10fdd628-27fc-42fd-8235-d5432808bee1""]","[""SUCCEEDED""]",OK,
1,dev_0118,8,19_00108,20,2,236,22,27,592,675,5,83,"[""c2cdb915-089d-4cb0-bde4-f1b5c2e374e6""]","[""SUCCEEDED""]",OK,
1,dev_0118,9,9_00103,6,1,161,27,30,675,745,3,70,"[""e8d2b3af-4169-4fb4-8162-9329bcafb692""]","[""SUCCEEDED""]",OK,
