session_index,n_examples,avg_before_memory_tokens,avg_after_memory_tokens,avg_delta_memory_tokens,median_after_memory_tokens,min_after_memory_tokens,max_after_memory_tokens,avg_dialogue_tokens,memory_vs_dialogue_ratio
1,111,0.0,68.03603603603604,68.03603603603604,66.0,0,143,308.17,0.2208
2,111,68.03603603603604,126.76576576576576,58.729729729729726,121.0,43,243,579.83,0.2186
3,106,127.37735849056604,196.4245283018868,69.04716981132076,191.0,78,366,886.71,0.2215
4,107,195.58878504672896,261.1682242990654,65.57943925233644,253.0,128,427,1180.12,0.2213
5,105,261.18095238095236,330.6666666666667,69.48571428571428,325.0,172,528,1489.72,0.222
6,87,330.1609195402299,399.4597701149425,69.29885057471265,391.0,230,592,1804.69,0.2213
7,68,398.3235294117647,456.8970588235294,58.5735294117647,453.0,271,716,2028.77,0.2252
8,53,449.0377358490566,505.3018867924528,56.264150943396224,496.0,284,702,2320.48,0.2178
9,31,522.0322580645161,586.6129032258065,64.58064516129032,563.0,426,792,2666.7,0.22
10,16,597.3125,661.0,63.6875,640.5,478,855,2933.56,0.2253
