setting,model_dir,pair_count,avg_attempts,valid_rate,valid_after3_count,valid_after3_rate,pairs_reaching_step4_count,pairs_reaching_step4_rate,extra_attempts_over3
0312_MEMORY1_max10,Qwen_Qwen3-8B,2020,1.0970297029702971,1.0,10,0.0049504950495049506,10,0.0049504950495049506,15
0312_MEMORY1_max10,deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,2020,1.188118811881188,1.0,31,0.015346534653465346,31,0.015346534653465346,71
0312_MEMORY1_max10,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,2020,1.1455445544554455,0.999009900990099,23,0.011386138613861386,25,0.012376237623762377,74
0312_MEMORY1_max10,google_gemma-3-12b-it,2020,1.0103960396039604,1.0,0,0.0,0,0.0,0
0312_MEMORY1_max10,gpt-4o-mini,2020,1.0267326732673268,1.0,5,0.0024752475247524753,5,0.0024752475247524753,5
1231_MEMORY3_max3,Qwen_Qwen3-8B,2020,1.0168316831683168,1.0,0,0.0,0,0.0,0
1231_MEMORY3_max3,deepseek-ai_DeepSeek-R1-0528-Qwen3-8B,2019,1.150074294205052,0.9816740960871718,0,0.0,0,0.0,0
1231_MEMORY3_max3,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,2020,1.1094059405940595,0.9866336633663366,0,0.0,0,0.0,0
1231_MEMORY3_max3,google_gemma-3-12b-it,2020,1.0138613861386139,0.999009900990099,0,0.0,0,0.0,0
1231_MEMORY3_max3,gpt-4o-mini,2020,1.0143564356435644,0.999009900990099,0,0.0,0,0.0,0
