memory_model_norm,pref_type,action_model,tp_0312_MEMORY1_max10,fp_0312_MEMORY1_max10,fn_0312_MEMORY1_max10,precision_0312_MEMORY1_max10,recall_0312_MEMORY1_max10,f1_0312_MEMORY1_max10,n_examples_0312_MEMORY1_max10,tp_1231_MEMORY3_max3,fp_1231_MEMORY3_max3,fn_1231_MEMORY3_max3,precision_1231_MEMORY3_max3,recall_1231_MEMORY3_max3,f1_1231_MEMORY3_max3,n_examples_1231_MEMORY3_max3,f1_diff
Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,258,338,103,0.432886,0.714681,0.539185,332,250,306,111,0.4496402877697841,0.6925207756232687,0.5452562704471102,0,-0.0060712704471102
Qwen3-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,198,388,163,0.337884,0.548476,0.418163,332,205,396,156,0.3410981697171381,0.5678670360110804,0.4261954261954261,0,-0.008032426195426101
Qwen3-8B,easy,google_codegemma-7b-it,290,500,71,0.367089,0.803324,0.50391,332,294,531,67,0.3563636363636364,0.814404432132964,0.4957841483979764,0,0.00812585160202356
Qwen3-8B,easy,google_gemma-3-12b-it,207,63,154,0.766667,0.573407,0.656101,332,223,72,138,0.7559322033898305,0.6177285318559557,0.6798780487804877,0,-0.023777048780487697
Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,62,654,410,0.086592,0.131356,0.104377,472,68,622,404,0.0985507246376811,0.1440677966101695,0.117039586919105,0,-0.012662586919105004
Qwen3-8B,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,75,648,397,0.103734,0.158898,0.125523,472,71,686,401,0.0937912813738441,0.1504237288135593,0.1155410903173311,0,0.00998190968266889
Qwen3-8B,hard,google_codegemma-7b-it,91,1192,381,0.070928,0.192797,0.103704,472,78,1110,394,0.0656565656565656,0.1652542372881356,0.0939759036144578,0,0.009728096385542201
Qwen3-8B,hard,google_gemma-3-12b-it,27,167,445,0.139175,0.057203,0.081081,472,32,194,440,0.1415929203539823,0.0677966101694915,0.0916905444126074,0,-0.010609544412607405
Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,173,454,120,0.275917,0.590444,0.376087,293,169,447,124,0.2743506493506493,0.5767918088737202,0.3718371837183718,0,0.004249816281628183
Qwen3-8B,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,143,415,150,0.256272,0.488055,0.336075,293,137,425,156,0.2437722419928825,0.4675767918088737,0.3204678362573099,0,0.015607163742690111
Qwen3-8B,medium,google_codegemma-7b-it,219,659,74,0.249431,0.74744,0.374039,293,218,650,75,0.2511520737327189,0.7440273037542662,0.3755383290267011,0,-0.0014993290267010795
Qwen3-8B,medium,google_gemma-3-12b-it,152,134,141,0.531469,0.518771,0.525043,293,153,132,140,0.5368421052631579,0.5221843003412969,0.5294117647058824,0,-0.004368764705882322
DeepSeek-R1-Distill-Llama-8B,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,274,330,87,0.453642,0.759003,0.567876,332,257,309,104,0.4540636042402827,0.7119113573407202,0.5544768069039914,0,0.013399193096008677
