Section,Base LLM,Evidence,CG Recall P-EM,CG Recall EA-F1,CG Recall OA-F1,CG Induction P-EM,CG Induction EA-F1,CG Induction OA-F1,CG Transfer P-EM,CG Transfer EA-F1,CG Transfer OA-F1,CG Avg OA-F1,CF Recall Precision,CF Recall Recall,CF Recall F1,CF Induction Precision,CF Induction Recall,CF Induction F1,CF Transfer Precision,CF Transfer Recall,CF Transfer F1,CF Avg F1
Base prompting,GPT-5,"Measured on all native N=4,695 instances",17.12962962962963,88.88888888888889,66.94376528117361,13.477366255144032,78.6838340486409,66.49874055415617,6.686046511627906,53.0073978771309,42.84795196225605,58.76348593252861,39.726027397260275,78.37837837837837,52.72727272727272,38.88537048765041,63.16872427983539,48.13798510388083,15.932452276064609,31.540697674418606,21.17073170731707,40.67866317949021
Base prompting,Claude Haiku 4.5,"Measured on all native N=4,695 instances",42.28395061728395,87.33997155049788,77.28076825878189,33.0246913580247,77.0862800565771,71.03982699585511,6.540697674418605,61.582641991065735,48.89729048519219,65.73929524660973,53.463732681336595,84.42728442728443,65.46906187624751,41.371016235718585,70.78189300411523,52.22011385199241,10.977564102564102,19.912790697674417,14.152892561983471,43.94735609674113
Base prompting,Qwen3-8B,"Measured on all native N=4,695 instances",8.333333333333332,68.68495742667929,52.941176470588246,8.333333333333332,60.92669432918395,53.43228200371058,4.215116279069767,48.81995954146999,39.40375891121192,48.59240579517025,28.635682158920538,49.163449163449165,36.19137849360492,24.984539270253556,41.56378600823045,31.20896098879876,14.409448818897639,26.598837209302324,18.692543411644536,28.697627631349405
Base prompting,GPT-OSS-20B,"Measured on all native N=4,695 instances",16.666666666666664,74.1320293398533,59.245678365636465,12.139917695473251,69.82726938625505,57.31308860272919,1.744186046511628,58.63117870722433,44.4223602484472,53.66037573893762,39.73029045643153,49.29214929214929,43.99770246984492,27.434377646062657,33.33333333333333,30.097538318625173,14.142857142857142,14.38953488372093,14.265129682997118,29.453456823822403
Base prompting,Gemma4-12B,"Measured on all native N=4,695 instances",14.969135802469136,87.6470588235294,67.85619174434089,15.432098765432098,79.41068139963167,66.69452569995822,0.7267441860465116,75.2999294283698,57.80089153046064,64.11720299158658,37.74583963691377,64.22136422136421,47.546450690805145,29.51310861423221,40.534979423868315,34.1569137407889,15.731370745170192,24.8546511627907,19.267605633802816,33.656990021798954
Base prompting,Average,Macro-average across five inference models,19.87654320987654,81.33858120588975,64.85351602410422,16.48148148148148,73.18695184405773,62.99569277128185,3.9825581395348837,59.46822150905215,46.6744506275136,58.17455314096656,39.86031446617254,65.0965250965251,49.18637325155504,32.437682450783484,49.876543209876544,39.16430240081721,14.238738617110737,23.459302325581394,17.509780599549003,35.28681875064042
Ours-memory,GPT-5,"Measured on proportional N=4,000 stratified sample",66.00241545893721,89.65532885623509,85.4229417796504,62.27858293075685,79.21096547284324,79.4220976010602,22.525597269624573,79.88370426862767,67.98633305723176,77.61045747931412,78.99557376764027,94.58775923115832,85.97164220585357,67.08320485147496,87.56038647342994,75.94301412599411,33.639758349482584,38.68031854379977,35.8837029065251,65.93278641279093
Ours-memory,Claude Haiku 4.5,"Measured on proportional N=4,000 stratified sample",60.7487922705314,88.35748415334798,82.9648910280927,59.29951690821255,78.97035613126229,78.82638674273312,8.81683731513083,79.617377763792,63.191455542445766,74.99424443775719,72.50126337049694,90.74355083459787,80.5409446463071,65.76617916717683,86.11111111111111,74.56031091057243,20.194948122170203,19.112627986348123,19.524005689185948,58.20842041535516
Ours-memory,Qwen3-8B,"Measured native N=4,695",48.71399176954733,81.62479307597411,76.77512902618798,46.021947873799725,71.41229556085152,71.90389022659367,7.994186046511628,72.33581360964945,58.82226958525394,69.1670962793452,78.61130254369012,80.995280995281,79.77001118113736,69.56325686152752,80.10973936899863,74.4587121584599,18.902506916133362,17.63565891472868,18.169575806842463,57.466099715479906
Ours-memory,GPT-OSS-20B,"Measured native N=4,695",41.718106995884774,86.70237005665298,78.0447192480805,28.772290809327846,76.00339638220588,69.83105945444464,6.734496124031008,78.85024069150575,61.864971837304154,69.91358351327644,63.7500831081428,91.2054912054912,74.99727119119372,49.86265753282245,81.8244170096022,61.92619426434353,15.908409305623321,21.899224806201552,18.311588655054734,51.745018036863996
Ours-memory,Gemma4-12B,"Measured native N=4,695",59.00205761316872,88.70790891078137,82.74515065134104,55.864197530864196,79.21663831432068,77.91364140570273,19.767441860465116,79.79669769919325,65.32370666932192,75.32749957545524,68.18974399425812,96.996996996997,80.01550614305582,59.06528792160405,89.98628257887518,71.30208460785593,30.34992107507045,42.781007751937985,35.46422716069103,62.26060597053426
Ours-memory,Avg. Gain (%p),Ours average minus vanilla average,35.36052961173735,5.670995804708554,16.3370503225663,33.965825729110755,3.7757785282389875,12.583722314825025,9.185153583617748,18.628545297501468,16.76329671079791,15.228023116063078,32.54927889067311,25.809290756179976,31.072701821954468,29.830434816137682,35.24184409852687,32.473760812627965,9.560370136585245,4.562465275021829,7.960839444110853,23.83576735956443
Ours-memory,Average,Macro-average across five inference models,55.237072821613886,87.0095770105983,81.19056634667052,50.447307210592236,76.96273037229672,75.57941508610688,13.167711723152632,78.09676680655362,63.43774733831151,73.40257625702964,72.40959335684565,90.90581585270508,80.2590750735095,62.268117266921166,85.11838730840341,71.63806321344518,23.799108753695982,28.021767600603223,25.470620043659856,59.12258611020485
