Memory Source,Inference Model,Inference Setting,Evidence,Observed N,CG Recall P-EM,CG Recall EA-F1,CG Recall OA-F1,CG Induction P-EM,CG Induction EA-F1,CG Induction OA-F1,CG Transfer P-EM,CG Transfer EA-F1,CG Transfer OA-F1,CG Avg OA-F1,CF Recall Precision,CF Recall Recall,CF Recall F1,CF Induction Precision,CF Induction Recall,CF Induction F1,CF Transfer Precision,CF Transfer Recall,CF Transfer F1,CF Avg F1
GPT-OSS-20B,GPT-5,reasoning=medium,"Measured on proportional N=4,000 stratified sample",4000,70.65217391304348,89.65517241379311,86.79599499374217,65.82125603864735,79.27241962774958,80.16564952048823,19.453924914675767,79.74203338391501,67.13136729222519,78.0310039354852,84.58390177353343,94.08194233687405,89.08045977011494,68.40579710144927,85.5072463768116,76.00644122383254,32.76157804459691,32.593856655290104,32.67750213857998,65.92146771084249
Gemma4-12B,GPT-5,reasoning=medium,"Measured on proportional N=4,000 stratified sample",4000,62.13768115942029,89.8663697104677,84.24206111443979,62.80193236714976,79.42421676545301,79.59356477561388,28.498293515358363,79.98483699772557,68.68533938935151,77.5069884264684,71.49372862029647,95.14415781487102,81.640625,65.86879432624113,89.73429951690821,75.97137014314929,35.317460317460316,45.563139931740615,39.7913561847988,65.80111710931602
Qwen3-8B,GPT-5,reasoning=medium,"Measured on proportional N=4,000 stratified sample",4000,65.21739130434783,89.44444444444444,85.23076923076923,58.212560386473434,78.93626002532714,78.5070785070785,19.624573378839592,79.92424242424242,68.14229249011858,77.29338007598876,80.9090909090909,94.53717754172989,87.19384184744577,66.9750231267345,87.43961352657004,75.85123101100052,32.84023668639053,37.883959044368595,35.182250396196515,66.07577441821427
GPT-OSS-20B,Claude Haiku 4.5,thinking budget=2048,"Measured on proportional N=4,000 stratified sample",4000,62.5,87.84008883953359,83.2455868689997,60.14492753623188,78.69269949066215,78.56525496974935,5.631399317406143,80.1071155317521,62.6889848812095,74.83327557331951,76.1038961038961,88.92261001517451,82.01539538138559,66.66666666666666,84.05797101449275,74.35897435897435,13.785557986870897,10.750853242320819,12.080536912751677,56.1516355510372
Gemma4-12B,Claude Haiku 4.5,thinking budget=2048,"Measured on proportional N=4,000 stratified sample",4000,59.05797101449275,88.51727982162765,82.22827732364517,61.35265700483091,78.91387356809504,79.46655376799323,14.334470989761092,79.5575896262395,64.53937210499228,75.41140106554356,68.96942242355605,92.41274658573596,78.98832684824902,65.83407671721677,89.13043478260869,75.73114417650076,28.06201550387597,30.887372013651877,29.406986190089356,61.375485738279714
Qwen3-8B,Claude Haiku 4.5,thinking budget=2048,"Measured on proportional N=4,000 stratified sample",4000,60.68840579710145,88.71508379888269,83.42080889163323,56.40096618357487,79.30449533502969,78.4473514904568,6.484641638225256,79.18742813338443,62.346009641135524,74.73805667440851,72.43047158403868,90.89529590288315,80.61911170928667,64.79779411764706,85.14492753623189,73.59081419624218,18.73727087576375,15.699658703071673,17.084493964716806,57.098139956748554
GPT-OSS-20B,Qwen3-8B,reasoning=high,"Measured on all native N=4,695 instances",4695,50.0,81.8889970788705,77.31185781727297,45.67901234567901,71.8355571583123,71.8928501083317,3.488372093023256,70.51983584131327,56.30106461995543,68.50192418185337,83.01158301158301,83.01158301158301,83.01158301158301,70.42124542124543,79.11522633744856,74.51550387596899,13.229571984435799,9.883720930232558,11.314475873544094,56.28052092036536
Gemma4-12B,Qwen3-8B,reasoning=high,"Measured on all native N=4,695 instances",4695,51.23456790123457,82.88899660688318,77.6824034334764,52.46913580246913,72.50538406317301,74.15986329979116,13.226744186046513,72.37834132967785,59.810426540284354,70.55089775785063,75.81227436823104,81.08108108108108,78.35820895522389,70.95914742451154,82.20164609053498,76.16777883698761,26.70375521557719,27.906976744186046,27.292110874200425,60.60603288880397
Qwen3-8B,Qwen3-8B,reasoning=high,"Measured on all native N=4,695 instances",4695,44.907407407407405,80.09638554216866,75.33112582781457,39.91769547325103,69.89594546106926,69.65895727165817,7.267441860465117,74.10926365795724,60.35531759552203,68.44846689833159,77.01005025125627,78.8931788931789,77.9402415766052,67.30937773882559,79.01234567901234,72.6928537624231,16.7741935483871,15.11627906976744,15.902140672782872,55.51174533727039
GPT-OSS-20B,GPT-OSS-20B,reasoning=high,"Measured on all native N=4,695 instances",4695,46.913580246913575,86.3745787193067,79.17103882476391,31.48148148148148,74.46197991391678,69.22094508301404,3.488372093023256,78.83845126835782,61.174818628598175,69.85560084545871,68.16015252621544,92.02059202059202,78.3132530120482,52.666666666666664,81.27572016460906,63.91585760517798,11.511789181692095,12.063953488372094,11.78140525195174,51.33683862305931
