method,example_index,example_id,sessions,ok_sessions,failed_sessions,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,final_stored_memory_count,final_stored_memory_content_tokens,final_stored_memory_serialized_tokens,elapsed_seconds,status
mem0,0,dev_0003,6,6,0,12,20124,5168,25292,49,447,447,2214,52,34,314,3814,148.53861546516418,OK
mem0,1,dev_0004,2,2,0,4,6456,929,7385,18,196,196,770,14,7,80,926,29.374785900115967,OK
mem0,2,dev_0008,5,5,0,10,16826,4093,20919,35,346,346,1869,35,35,346,3941,119.22269463539124,OK
mem0,3,dev_0009,6,6,0,12,20205,4746,24951,43,370,370,2363,41,33,296,3821,138.50149297714233,OK
mem0,4,dev_0014,6,6,0,12,20189,4568,24757,36,353,353,2354,33,31,328,3553,131.5154857635498,OK
mem0,5,dev_0015,10,10,0,20,35270,10473,45743,73,685,685,4158,67,63,604,7124,301.18381524086,OK
mem0,6,dev_0020,10,10,0,20,32485,7733,40218,59,506,506,2860,56,53,472,5932,222.69760417938232,OK
mem0,7,dev_0021,9,9,0,18,29439,7132,36571,55,514,514,2733,52,50,462,5642,205.89416241645813,OK
mem0,8,dev_0022,9,9,0,18,29175,5960,35135,45,452,452,2785,41,40,422,4499,174.26421880722046,OK
mem0,9,dev_0025,8,8,0,16,25196,6085,31281,50,351,351,1818,45,42,299,4651,177.1205244064331,OK
mem0,10,dev_0027,7,7,0,14,21293,3905,25198,31,240,240,1326,31,31,240,3402,113.76755261421204,OK
mem0,11,dev_0028,9,9,0,18,28738,6196,34934,53,438,438,2559,46,45,381,5007,181.42527866363525,OK
mem0,12,dev_0029,8,8,0,16,26254,5758,32012,47,483,483,2570,42,37,362,4242,167.9892861843109,OK
mem0,13,dev_0030,10,10,0,20,32087,6925,39012,53,462,462,2876,52,49,441,5539,193.35572957992554,OK
mem0,14,dev_0031,10,10,0,20,31095,5697,36792,45,341,341,2552,45,44,334,4884,152.94423151016235,OK
mem0,15,dev_0032,7,7,0,14,23385,6550,29935,57,537,537,2294,55,49,451,5564,155.00111413002014,OK
mem0,16,dev_0035,6,6,0,12,19136,4542,23678,41,334,334,1608,41,41,334,4519,97.11279129981995,OK
mem0,17,dev_0036,5,5,0,10,15203,2426,17629,24,201,201,1145,24,24,201,2653,69.45636749267578,OK
mem0,18,dev_0037,5,5,0,10,15422,3130,18552,30,231,231,1050,30,30,231,3323,90.26043558120728,OK
mem0,19,dev_0038,5,5,0,10,16909,4756,21665,43,467,467,1736,43,41,441,4642,139.79324531555176,OK
mem0,20,dev_0039,6,6,0,12,19641,4527,24168,39,350,350,1925,45,32,268,3578,131.39361953735352,OK
mem0,21,dev_0040,10,10,0,20,31133,6178,37311,48,427,427,2256,47,42,382,4767,178.9698486328125,OK
mem0,22,dev_0041,10,10,0,20,31804,6601,38405,50,435,435,2688,47,44,373,4923,189.9736077785492,OK
mem0,23,dev_0042,8,8,0,16,27191,7163,34354,61,566,566,3116,59,52,499,5918,208.14042973518372,OK
mem0,24,dev_0044,8,8,0,16,26088,6127,32215,47,386,386,2456,47,47,386,5191,176.61104249954224,OK
mem0,25,dev_0045,5,5,0,10,16352,3367,19719,29,241,241,1805,28,27,226,3002,97.91816878318787,OK
mem0,26,dev_0046,6,6,0,12,19628,3864,23492,37,450,450,2079,28,27,333,3096,114.24299311637878,OK
mem0,27,dev_0047,6,6,0,12,20033,4868,24901,41,390,390,2161,41,41,390,4594,143.92099571228027,OK
mem0,28,dev_0048,7,7,0,14,21387,3374,24761,29,225,225,1678,29,29,225,3218,99.3727662563324,OK
mem0,29,dev_0049,8,8,0,16,25477,5469,30946,42,367,367,2234,41,39,326,4322,158.14738607406616,OK
mem0,30,dev_0050,8,8,0,16,25327,4879,30206,38,330,330,2241,37,36,318,4029,142.3075909614563,OK
mem0,31,dev_0051,9,9,0,18,29600,6693,36293,55,498,498,3032,53,53,476,5883,195.20195245742798,OK
mem0,32,dev_0052,9,9,0,18,29501,6637,36138,48,441,441,2907,46,43,388,4802,183.0682234764099,OK
mem0,33,dev_0054,10,10,0,20,32935,8332,41267,59,563,563,2953,57,57,538,6364,212.94370532035828,OK
mem0,34,dev_0055,8,8,0,16,26516,6356,32872,44,431,431,2545,43,43,429,4831,180.36852550506592,OK
mem0,35,dev_0056,9,9,0,18,28383,5333,33716,41,358,358,2509,40,40,351,4443,154.12060141563416,OK
mem0,36,dev_0058,7,7,0,14,22391,4121,26512,40,321,321,2287,35,30,239,3413,120.75934720039368,OK
mem0,37,dev_0059,8,8,0,16,25334,5660,30994,46,350,350,2008,45,44,338,4834,163.01547169685364,OK
mem0,38,dev_0060,10,10,0,20,32251,7258,39509,52,483,483,2750,52,51,472,5754,209.3251087665558,OK
mem0,39,dev_0062,7,7,0,14,23041,5174,28215,41,458,458,2261,38,34,380,3929,150.28347206115723,OK
mem0,40,dev_0063,9,9,0,18,29455,7150,36605,54,487,487,2705,55,50,451,5611,205.87647414207458,OK
mem0,41,dev_0065,9,9,0,18,28929,6550,35479,54,459,459,2435,50,47,405,5277,190.49844408035278,OK
mem0,42,dev_0066,9,9,0,18,28610,5708,34318,44,319,319,2488,46,39,289,4305,166.742369890213,OK
mem0,43,dev_0068,6,6,0,12,18849,3840,22689,35,265,265,1628,33,32,252,3538,112.36097645759583,OK
mem0,44,dev_0070,10,10,0,20,32863,8053,40916,59,555,555,3067,59,54,530,6102,233.77517318725586,OK
mem0,45,dev_0071,10,10,0,20,32340,7155,39495,56,498,498,2893,55,53,478,5942,208.77374243736267,OK
mem0,46,dev_0072,6,6,0,12,21135,6327,27462,58,571,571,2588,55,53,542,6014,178.73968482017517,OK
mem0,47,dev_0073,9,9,0,18,29624,7271,36895,59,525,525,2737,52,49,448,5521,192.92267537117004,OK
mem0,48,dev_0074,6,6,0,12,19104,3901,23005,38,314,314,1740,37,34,275,3823,94.75741505622864,OK
mem0,49,dev_0075,8,8,0,16,27474,7718,35192,59,575,575,2927,57,53,519,6026,162.70824241638184,OK
mem0,50,dev_0076,8,8,0,16,24325,3800,28125,34,265,265,1836,31,29,232,3234,68.92207145690918,OK
mem0,51,dev_0078,5,5,0,10,15521,2730,18251,26,207,207,1259,25,24,194,2678,55.89733266830444,OK
mem0,52,dev_0079,10,10,0,20,32892,7661,40553,59,558,558,3294,55,52,481,5867,150.5524513721466,OK
mem0,53,dev_0080,8,8,0,16,27045,7594,34639,59,500,500,2848,58,56,472,6184,149.65732336044312,OK
mem0,54,dev_0081,9,9,0,18,30512,8839,39351,71,631,631,2932,68,61,557,6915,174.67257022857666,OK
mem0,55,dev_0082,9,9,0,18,28729,6445,35174,50,405,405,2323,48,45,369,5031,127.61973857879639,OK
