method,example_index,example_id,sessions,ok_sessions,failed_sessions,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,final_stored_memory_count,final_stored_memory_content_tokens,final_stored_memory_serialized_tokens,elapsed_seconds,status
mem0,170,dev_0213,7,7,0,0,0,0,0,0,0,0,1959,24,20,208,2302,73.65697479248047,OK
mem0,171,dev_0214,7,7,0,0,0,0,0,0,0,0,2277,43,43,338,4747,129.1844687461853,OK
mem0,172,dev_0215,6,6,0,0,0,0,0,0,0,0,1770,35,33,287,3697,99.61470890045166,OK
mem0,173,dev_0216,7,7,0,0,0,0,0,0,0,0,1792,43,40,341,4444,126.7928249835968,OK
mem0,174,dev_0217,10,10,0,0,0,0,0,0,0,0,2785,61,57,531,6442,190.41837167739868,OK
mem0,175,dev_0218,8,8,0,0,0,0,0,0,0,0,2915,45,45,397,4973,135.5310776233673,OK
mem0,176,dev_0219,10,10,0,0,0,0,0,0,0,0,3222,59,53,473,6012,180.15076088905334,OK
mem0,177,dev_0220,8,8,0,0,0,0,0,0,0,0,2303,46,45,434,5038,148.88378071784973,OK
mem0,178,dev_0221,10,10,0,0,0,0,0,0,0,0,3352,55,51,442,5732,171.9837954044342,OK
mem0,179,dev_0222,5,5,0,0,0,0,0,0,0,0,1539,28,27,201,2972,63.92382621765137,OK
mem0,180,dev_0223,8,8,0,0,0,0,0,0,0,0,2119,42,41,344,4556,137.4165997505188,OK
mem0,181,dev_0224,5,5,0,0,0,0,0,0,0,0,2081,35,35,377,3949,105.3493161201477,OK
mem0,182,dev_0226,8,8,0,0,0,0,0,0,0,0,2180,42,41,389,4589,127.68787693977356,OK
mem0,183,dev_0227,6,6,0,0,0,0,0,0,0,0,2103,31,31,327,3481,87.41994738578796,OK
mem0,184,dev_0228,5,5,0,0,0,0,0,0,0,0,1017,21,21,164,2310,54.40707206726074,OK
mem0,185,dev_0230,10,10,0,0,0,0,0,0,0,0,2956,62,61,546,6810,202.0489857196808,OK
mem0,186,dev_0231,6,6,0,0,0,0,0,0,0,0,1859,42,40,313,4467,108.48059391975403,OK
mem0,187,dev_0233,6,6,0,0,0,0,0,0,0,0,1887,39,35,303,3946,101.92903327941895,OK
mem0,188,dev_0234,6,6,0,0,0,0,0,0,0,0,1995,37,37,312,4090,103.61337542533875,OK
mem0,189,dev_0236,8,8,0,0,0,0,0,0,0,0,2294,38,38,382,4262,121.69052004814148,OK
mem0,190,dev_0238,7,7,0,0,0,0,0,0,0,0,2001,44,39,327,4393,123.4651710987091,OK
mem0,191,dev_0239,7,7,0,0,0,0,0,0,0,0,2123,44,40,334,4507,128.91560125350952,OK
mem0,192,dev_0240,9,9,0,0,0,0,0,0,0,0,2978,49,48,449,5381,178.24325013160706,OK
mem0,193,dev_0241,10,10,0,0,0,0,0,0,0,0,2976,60,58,447,6385,181.4346170425415,OK
mem0,194,dev_0242,10,10,0,0,0,0,0,0,0,0,2889,66,63,443,6943,199.78813314437866,OK
mem0,195,dev_0243,7,7,0,0,0,0,0,0,0,0,2146,42,42,357,4661,124.02963256835938,OK
mem0,196,dev_0244,10,10,0,0,0,0,0,0,0,0,3105,57,56,428,6176,177.34997415542603,OK
mem0,197,dev_0246,9,9,0,0,0,0,0,0,0,0,3528,70,57,466,6337,188.61177945137024,OK
mem0,198,dev_0247,9,9,0,0,0,0,0,0,0,0,1906,32,30,249,3334,112.5606837272644,OK
mem0,199,dev_0249,9,9,0,0,0,0,0,0,0,0,2936,58,55,504,6207,177.42415833473206,OK
mem0,200,dev_0250,9,9,0,0,0,0,0,0,0,0,2699,48,44,431,4996,133.16337251663208,OK
mem0,201,dev_0251,7,7,0,0,0,0,0,0,0,0,2126,39,39,323,4304,102.5434980392456,OK
mem0,202,dev_0252,9,9,0,0,0,0,0,0,0,0,2437,51,51,423,5631,134.63933515548706,OK
