method,example_index,example_id,session_index,dialogue_id,status,error,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,stored_memory_count_after_session,stored_memory_content_tokens_after_session,stored_memory_serialized_tokens_after_session,elapsed_seconds
mem0,203,dev_0254,1,9_00105,OK,,0,0,0,0,0,0,0,292,3,3,40,343,6.125764608383179
mem0,203,dev_0254,2,17_00078,OK,,0,0,0,0,0,0,0,519,10,13,126,1459,15.97027325630188
mem0,203,dev_0254,3,4_00051,OK,,0,0,0,0,0,0,0,366,3,16,157,1795,13.311022520065308
mem0,203,dev_0254,4,16_00111,OK,,0,0,0,0,0,0,0,287,5,21,184,2334,17.778469562530518
mem0,203,dev_0254,5,1_00034,OK,,0,0,0,0,0,0,0,149,3,24,214,2667,13.447747707366943
mem0,203,dev_0254,6,16_00003,OK,,0,0,0,0,0,0,0,312,5,29,260,3229,23.618236780166626
mem0,203,dev_0254,7,2_00074,OK,,0,0,0,0,0,0,0,204,3,32,318,3585,13.087416172027588
mem0,204,dev_0255,1,12_00043,OK,,0,0,0,0,0,0,0,416,7,7,53,777,9.482128143310547
mem0,204,dev_0255,2,4_00101,OK,,0,0,0,0,0,0,0,304,3,10,81,1111,13.399354934692383
mem0,204,dev_0255,3,5_00119,OK,,0,0,0,0,0,0,0,143,4,14,113,1554,12.262877464294434
mem0,204,dev_0255,4,5_00117,OK,,0,0,0,0,0,0,0,171,7,19,135,2120,19.186054944992065
mem0,204,dev_0255,5,6_00108,OK,,0,0,0,0,0,0,0,128,2,21,146,2338,7.829723596572876
mem0,205,dev_0256,1,18_00118,OK,,0,0,0,0,0,0,0,355,4,4,50,456,6.0257298946380615
mem0,205,dev_0256,2,9_00110,OK,,0,0,0,0,0,0,0,264,4,8,89,900,10.098247051239014
mem0,205,dev_0256,3,9_00056,OK,,0,0,0,0,0,0,0,315,4,12,128,1345,12.222005605697632
mem0,205,dev_0256,4,17_00035,OK,,0,0,0,0,0,0,0,355,3,15,165,1694,13.01825737953186
mem0,205,dev_0256,5,8_00069,OK,,0,0,0,0,0,0,0,396,4,19,212,2154,16.095386266708374
mem0,205,dev_0256,6,11_00124,OK,,0,0,0,0,0,0,0,348,10,29,286,3253,26.467432260513306
mem0,205,dev_0256,7,12_00091,OK,,0,0,0,0,0,0,0,297,7,35,333,3938,25.174312353134155
mem0,205,dev_0256,8,15_00009,OK,,0,0,0,0,0,0,0,460,6,41,404,4633,21.942721366882324
mem0,205,dev_0256,9,1_00051,OK,,0,0,0,0,0,0,0,162,8,46,431,5230,21.395256996154785
mem0,206,dev_0258,1,14_00091,OK,,0,0,0,0,0,0,0,367,6,6,60,676,7.970097064971924
mem0,206,dev_0258,2,8_00015,OK,,0,0,0,0,0,0,0,306,7,13,127,1461,15.592488527297974
mem0,206,dev_0258,3,9_00048,OK,,0,0,0,0,0,0,0,383,5,18,173,2031,16.460102796554565
mem0,206,dev_0258,4,18_00032,OK,,0,0,0,0,0,0,0,381,9,27,249,3024,24.63404154777527
mem0,206,dev_0258,5,12_00107,OK,,0,0,0,0,0,0,0,280,5,31,290,3486,17.76621913909912
mem0,206,dev_0258,6,4_00041,OK,,0,0,0,0,0,0,0,195,4,35,325,3933,16.643689155578613
mem0,206,dev_0258,7,9_00087,OK,,0,0,0,0,0,0,0,310,5,40,379,4496,24.707874059677124
mem0,206,dev_0258,8,15_00060,OK,,0,0,0,0,0,0,0,525,7,46,446,5196,29.24303412437439
mem0,206,dev_0258,9,15_00111,OK,,0,0,0,0,0,0,0,376,6,51,497,5765,22.054913997650146
