method,example_index,example_id,sessions,ok_sessions,failed_sessions,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,final_stored_memory_count,final_stored_memory_content_tokens,final_stored_memory_serialized_tokens,elapsed_seconds,status
mem0,102,dev_0135,6,6,0,12,19289,3547,22836,41,396,396,1950,34,32,291,3603,74.78240060806274,OK
mem0,103,dev_0136,10,10,0,20,31811,7170,38981,56,445,445,2557,54,50,393,5591,142.2917366027832,OK
mem0,104,dev_0137,9,9,0,18,29350,7167,36517,56,471,471,2641,54,51,433,5673,142.39235091209412,OK
mem0,105,dev_0138,6,6,0,12,19389,3816,23205,35,342,342,1975,35,34,327,3819,76.22818160057068,OK
mem0,106,dev_0139,7,7,0,14,22555,4697,27252,42,377,377,2238,40,38,350,4269,92.6808021068573,OK
mem0,107,dev_0140,9,9,0,18,28598,5852,34450,46,493,493,2458,44,40,419,4581,114.57749223709106,OK
mem0,108,dev_0142,10,10,0,20,31696,7054,38750,63,533,533,2415,50,44,370,5001,140.19168305397034,OK
mem0,109,dev_0143,9,9,0,18,28659,5943,34602,49,415,415,2527,50,44,392,4940,117.13581442832947,OK
mem0,110,dev_0144,8,8,0,16,25802,6042,31844,53,457,457,2282,46,44,376,4958,119.31588578224182,OK
mem0,111,dev_0145,10,10,0,20,31699,6971,38670,52,442,442,2461,51,48,419,5371,137.18239307403564,OK
mem0,112,dev_0146,5,5,0,10,16832,3819,20651,41,345,345,2026,39,35,286,3950,78.11181640625,OK
mem0,113,dev_0147,10,10,0,20,32105,6941,39046,51,425,425,2907,48,47,405,5239,137.6050112247467,OK
mem0,114,dev_0148,7,7,0,14,22326,4716,27042,37,320,320,1934,37,37,320,4149,93.91003751754761,OK
mem0,115,dev_0149,10,10,0,20,32444,7813,40257,60,437,437,2901,57,54,407,6040,154.63000988960266,OK
mem0,116,dev_0150,10,10,0,20,31097,5852,36949,45,336,336,2490,45,42,319,4665,110.25720453262329,OK
mem0,117,dev_0152,10,10,0,20,31212,6269,37481,44,330,330,2285,43,43,325,4741,116.1110954284668,OK
mem0,118,dev_0153,7,7,0,14,22685,5152,27837,42,371,371,2089,42,42,371,4651,97.03785681724548,OK
