method,example_index,example_id,session_index,dialogue_id,status,error,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,stored_memory_count_after_session,stored_memory_content_tokens_after_session,stored_memory_serialized_tokens_after_session,elapsed_seconds
mem0,251,dev_0317,1,8_00012,OK,,2,3068,268,3336,5,38,38,338,4,4,32,437,9.222928285598755
mem0,251,dev_0317,2,15_00087,OK,,2,3116,464,3580,4,71,71,281,4,8,103,922,13.472718000411987
mem0,251,dev_0317,3,2_00039,OK,,2,3061,533,3594,4,26,26,197,4,12,129,1355,14.693176031112671
mem0,251,dev_0317,4,16_00101,OK,,2,3238,886,4124,10,61,61,280,8,18,167,2058,24.623225688934326
mem0,251,dev_0317,5,2_00073,OK,,2,3297,658,3955,6,75,75,349,6,24,242,2751,18.720032691955566
mem0,252,dev_0318,1,19_00074,OK,,2,3280,334,3614,5,69,69,519,5,5,69,574,9.855766296386719
mem0,252,dev_0318,2,3_00126,OK,,2,2969,370,3339,3,21,21,177,3,8,90,903,11.02368426322937
mem0,252,dev_0318,3,15_00092,OK,,2,3299,610,3909,5,81,81,348,4,12,149,1376,17.422752618789673
mem0,252,dev_0318,4,4_00053,OK,,2,3191,572,3763,3,25,25,267,3,15,174,1699,16.394009590148926
mem0,252,dev_0318,5,13_00098,OK,,2,3343,769,4112,5,58,58,369,5,20,232,2268,21.911592483520508
mem0,252,dev_0318,6,12_00088,OK,,2,3333,659,3992,3,26,26,347,3,23,258,2606,18.77712917327881
mem0,252,dev_0318,7,13_00037,OK,,2,3522,926,4448,8,83,83,431,8,30,331,3412,27.10909414291382
mem0,252,dev_0318,8,7_00064,OK,,2,3224,707,3931,3,27,27,244,3,33,358,3753,19.80000925064087
mem0,252,dev_0318,9,2_00106,OK,,2,3415,1150,4565,7,38,38,265,7,40,396,4514,33.36474967002869
mem0,252,dev_0318,10,14_00003,OK,,2,3451,1025,4476,6,51,51,308,5,45,444,5069,29.611488342285156
mem0,253,dev_0319,1,11_00076,OK,,2,2977,170,3147,3,26,26,309,3,3,26,330,5.412503957748413
mem0,253,dev_0319,2,19_00117,OK,,2,2985,351,3336,4,36,36,225,4,7,62,773,10.457940101623535
mem0,253,dev_0319,3,10_00062,OK,,2,3056,400,3456,3,17,17,252,3,10,79,1091,11.881615161895752
mem0,253,dev_0319,4,5_00030,OK,,2,3010,588,3598,4,29,29,147,4,14,108,1528,16.79169487953186
mem0,253,dev_0319,5,18_00008,OK,,2,3474,867,4341,6,86,86,433,6,20,194,2243,25.267417192459106
mem0,253,dev_0319,6,19_00036,OK,,2,3427,1012,4439,6,61,61,327,6,26,255,2929,28.39004635810852
mem0,254,dev_0320,1,7_00040,OK,,2,2907,158,3065,3,19,19,251,3,3,19,329,4.495011806488037
mem0,254,dev_0320,2,8_00089,OK,,2,3014,351,3365,4,41,41,250,4,7,60,776,10.663698434829712
mem0,254,dev_0320,3,17_00084,OK,,2,3456,665,4121,6,76,76,516,6,13,136,1461,19.117016315460205
mem0,254,dev_0320,4,19_00095,OK,,2,3174,661,3835,5,36,36,242,5,17,168,1920,19.128799438476562
mem0,254,dev_0320,5,15_00047,OK,,2,3593,1017,4610,7,51,51,474,7,24,219,2687,29.068915843963623
mem0,254,dev_0320,6,9_00039,OK,,2,3434,680,4114,4,48,48,453,4,28,267,3149,19.76661968231201
mem0,254,dev_0320,7,3_00081,OK,,2,2826,280,3106,1,10,10,89,1,29,277,3256,7.765028476715088
