method,example_index,example_id,session_index,dialogue_id,status,error,llm_call_count,llm_input_tokens,llm_output_tokens,llm_total_tokens,embedding_call_count,embedding_input_tokens,embedding_total_tokens,raw_session_input_tokens,extracted_memory_count,stored_memory_count_after_session,stored_memory_content_tokens_after_session,stored_memory_serialized_tokens_after_session,elapsed_seconds
langmem,0,dev_0003,1,15_00034,OK,,4,2538,4469,7007,3,148,148,429,3,3,76,185,381.8253734111786
langmem,0,dev_0003,2,2_00055,OK,,4,2406,4442,6848,3,127,127,410,3,6,130,344,352.99695229530334
langmem,0,dev_0003,3,15_00056,OK,,2,1000,1081,2081,6,274,274,293,6,12,318,661,85.93140625953674
langmem,0,dev_0003,4,15_00070,OK,,4,2114,4459,6573,3,139,139,343,3,15,384,840,359.95517778396606
langmem,0,dev_0003,5,11_00121,OK,,4,2774,4470,7244,3,157,157,459,3,18,469,1026,359.98498487472534
langmem,0,dev_0003,6,15_00100,OK,,4,1890,4440,6330,3,129,129,280,3,21,526,1189,356.26428985595703
langmem,1,dev_0004,1,15_00038,OK,,1,601,336,937,6,284,284,383,6,6,201,325,30.495115518569946
langmem,1,dev_0004,2,15_00071,OK,,4,2394,4460,6854,3,138,138,387,3,9,267,499,359.30197286605835
langmem,2,dev_0008,1,8_00097,OK,,4,2302,4444,6746,3,133,133,376,3,3,58,163,361.71368622779846
langmem,2,dev_0008,2,9_00037,OK,,4,2198,4470,6668,3,150,150,348,3,6,134,346,346.85559368133545
langmem,2,dev_0008,3,9_00042,OK,,4,2566,4447,7013,3,133,133,429,3,9,194,512,357.62648916244507
langmem,2,dev_0008,4,9_00033,OK,,4,2046,4447,6493,3,137,137,320,3,12,256,685,356.2459237575531
langmem,2,dev_0008,5,8_00058,OK,,4,2386,4454,6840,3,140,140,396,3,15,322,860,358.75973081588745
langmem,3,dev_0009,1,9_00040,OK,,4,1982,4473,6455,3,129,129,295,3,3,57,162,383.6792950630188
langmem,3,dev_0009,2,13_00014,OK,,4,1614,4472,6086,3,124,124,245,3,6,109,320,357.1674528121948
langmem,3,dev_0009,3,17_00074,OK,,4,3730,4447,8177,3,129,129,663,3,9,166,485,358.9875671863556
langmem,3,dev_0009,4,9_00041,OK,,4,1914,4482,6396,3,135,135,278,3,12,229,655,360.5038537979126
langmem,3,dev_0009,5,17_00092,OK,,4,2970,4455,7425,3,135,135,510,3,15,292,826,356.3886435031891
langmem,3,dev_0009,6,9_00029,OK,,1,547,535,1082,6,292,292,372,6,19,427,1050,45.23055577278137
langmem,4,dev_0014,1,17_00063,OK,,4,3170,4453,7623,3,135,135,547,3,3,63,169,370.8671352863312
langmem,4,dev_0014,2,14_00088,OK,,4,2590,4476,7066,3,136,136,458,3,6,127,338,353.49785327911377
langmem,4,dev_0014,3,19_00119,OK,,4,2114,4437,6551,3,126,126,349,3,9,180,498,357.0961756706238
langmem,4,dev_0014,4,14_00097,OK,,4,2078,4442,6520,3,129,129,327,3,12,234,668,357.8116009235382
langmem,4,dev_0014,5,19_00111,OK,,4,1286,4447,5733,3,129,129,161,3,15,291,824,356.8112413883209
langmem,4,dev_0014,6,14_00076,OK,,4,2870,4457,7327,3,133,133,512,3,18,351,993,357.6227996349335
langmem,5,dev_0015,1,14_00048,OK,,1,645,366,1011,6,318,318,410,6,6,227,367,33.38869857788086
langmem,5,dev_0015,2,14_00089,OK,,1,679,324,1003,6,272,272,455,6,12,418,691,25.308934211730957
langmem,5,dev_0015,3,19_00035,OK,,4,2214,4451,6665,3,137,137,376,3,15,483,862,339.49835872650146
langmem,5,dev_0015,4,20_00015,OK,,4,2174,4446,6620,3,130,130,372,3,18,541,1030,355.5013928413391
langmem,5,dev_0015,5,14_00064,OK,,1,654,357,1011,6,312,312,421,6,23,744,1332,28.424556493759155
langmem,5,dev_0015,6,19_00032,OK,,4,2110,4465,6575,3,149,149,339,3,26,820,1519,360.9999394416809
