example_id,session_index,attempts,orig_input,orig_output,orig_total,no_reason_input,no_reason_output,no_reason_total,output_only_no_reason_input,output_only_no_reason_output,output_only_no_reason_total,reasoning_output_delta,reasoning_verifier_input_delta,reasoning_generation_input_delta,stored_full,stored_no_reason,implicit_only
dev_0004,1,2,2955,284,3239,2772,163,2935,2955,163,3118,121,121,62,79,20,12
dev_0004,2,1,2409,158,2567,2282,90,2372,2409,90,2499,68,68,59,102,34,26
dev_0037,1,1,1096,143,1239,1033,80,1113,1096,80,1176,63,63,0,87,24,16
dev_0037,2,1,1603,116,1719,1468,44,1512,1603,44,1647,72,72,63,106,34,26
dev_0037,3,1,2416,128,2544,2261,45,2306,2416,45,2461,83,83,72,118,35,27
dev_0037,4,1,3088,136,3224,2919,50,2969,3088,50,3138,86,86,83,126,40,32
dev_0037,5,1,3317,177,3494,3138,84,3222,3317,84,3401,93,93,86,131,38,30
dev_0038,1,1,1572,169,1741,1494,91,1585,1572,91,1663,78,78,0,105,27,19
dev_0038,2,1,2384,137,2521,2212,43,2255,2384,43,2427,94,94,78,127,33,25
dev_0038,3,1,3302,164,3466,3124,80,3204,3302,80,3382,84,84,94,119,35,27
dev_0038,4,1,3955,158,4113,3793,80,3873,3955,80,4035,78,78,84,110,32,24
dev_0038,5,1,4778,168,4946,4613,81,4694,4778,81,4859,87,87,78,120,33,25
dev_0036,1,1,1045,193,1238,960,108,1068,1045,108,1153,85,85,0,122,37,29
dev_0036,2,1,1755,184,1939,1563,77,1640,1755,77,1832,107,107,85,135,28,20
dev_0036,3,1,2133,134,2267,1935,43,1978,2133,43,2176,91,91,107,124,33,25
dev_0036,4,1,2478,174,2652,2288,75,2363,2478,75,2553,99,99,91,134,35,27
dev_0036,5,1,3435,171,3606,3240,75,3315,3435,75,3510,96,96,99,131,35,27
dev_0008,1,1,1436,101,1537,1374,39,1413,1436,39,1475,62,62,0,91,29,21
dev_0008,2,1,2370,206,2576,2207,105,2312,2370,105,2475,101,101,62,139,38,30
dev_0008,3,1,3385,180,3565,3196,92,3288,3385,92,3477,88,88,101,132,44,36
dev_0008,4,1,4136,216,4352,3949,117,4066,4136,117,4253,99,99,88,148,49,41
dev_0008,5,1,5049,198,5247,4849,97,4946,5049,97,5146,101,101,99,143,42,34
dev_0035,1,1,1106,129,1235,1016,39,1055,1106,39,1145,90,90,0,119,29,21
dev_0035,2,1,1947,106,2053,1794,43,1837,1947,43,1990,63,63,90,96,33,25
dev_0035,3,1,2227,165,2392,2087,88,2175,2227,88,2315,77,77,63,113,36,28
dev_0035,4,1,2808,162,2970,2641,72,2713,2808,72,2880,90,90,77,119,29,21
dev_0035,5,1,3859,187,4046,3662,80,3742,3859,80,3939,107,107,90,140,33,25
dev_0035,6,1,4464,188,4652,4259,90,4349,4464,90,4554,98,98,107,136,38,30
dev_0003,1,1,1567,167,1734,1478,78,1556,1567,78,1645,89,89,0,124,35,27
dev_0003,2,1,2555,160,2715,2394,88,2482,2555,88,2643,72,72,89,105,33,25
dev_0003,3,1,3201,142,3343,3067,80,3147,3201,80,3281,62,62,72,94,32,24
dev_0003,4,1,3949,148,4097,3830,91,3921,3949,91,4040,57,57,62,91,34,26
dev_0003,5,1,5012,161,5173,4880,86,4966,5012,86,5098,75,75,57,109,34,26
dev_0003,6,1,5665,154,5819,5522,86,5608,5665,86,5751,68,68,75,102,34,26
dev_0014,1,1,1884,190,2074,1781,87,1868,1884,87,1971,103,103,0,135,32,24
dev_0014,2,1,3001,176,3177,2808,86,2894,3001,86,3087,90,90,103,120,30,22
dev_0014,3,1,3772,161,3933,3599,78,3677,3772,78,3850,83,83,90,114,31,23
dev_0014,4,1,4518,178,4696,4360,103,4463,4518,103,4621,75,75,83,112,37,29
dev_0014,5,1,4922,166,5088,4784,103,4887,4922,103,5025,63,63,75,98,35,27
dev_0014,6,1,6067,170,6237,5911,77,5988,6067,77,6144,93,93,63,125,32,24
dev_0009,1,1,1304,171,1475,1212,79,1291,1304,79,1383,92,92,0,121,29,21
dev_0009,2,1,1948,157,2105,1787,88,1875,1948,88,2036,69,69,92,97,28,20
dev_0009,3,1,3443,168,3611,3298,92,3390,3443,92,3535,76,76,69,114,38,30
