domain,slot,value,pref_group,group
GetRestaurants,price_range,cheap,low_cost,budget_conscious
GetRentalCars,car_type,Compact,low_cost,budget_conscious
GetHotels,average_star,1,low_cost,budget_conscious
GetHotels,average_star,2,low_cost,budget_conscious
GetRideSharing,shared_ride,True,low_cost,budget_conscious
GetTravel,free_entry,True,low_cost,budget_conscious
GetFlights,flight_class,Economy,low_cost,budget_conscious
GetRestaurants,price_range,moderate,mid_cost,budget_conscious
GetRentalCars,car_type,Standard,mid_cost,budget_conscious
GetHotels,average_star,3,mid_cost,budget_conscious
GetFlights,flight_class,Premium Economy,mid_cost,budget_conscious
GetRestaurants,price_range,pricey,high_cost,budget_conscious
GetRentalCars,car_type,Full-size,high_cost,budget_conscious
GetHotels,average_star,4,high_cost,budget_conscious
GetHotels,average_star,5,high_cost,budget_conscious
GetBuses,group_size,1,solo_usage,travel
GetFlights,passengers,1,solo_usage,travel
GetRideSharing,number_of_seats,1,solo_usage,travel
GetEvents,number_of_tickets,1,solo_usage,travel
GetRestaurants,number_of_seats,1,solo_usage,travel
GetBuses,group_size,2,group_usage,travel
GetFlights,passengers,2,group_usage,travel
GetRideSharing,number_of_seats,2,group_usage,travel
GetEvents,number_of_tickets,2,group_usage,travel
GetBuses,group_size,3,group_usage,travel
GetBuses,group_size,4,group_usage,travel
GetFlights,passengers,3,group_usage,travel
GetFlights,passengers,4,group_usage,travel
GetRideSharing,number_of_seats,3,group_usage,travel
GetRideSharing,number_of_seats,4,group_usage,travel
GetEvents,number_of_tickets,3,group_usage,travel
GetEvents,number_of_tickets,4,group_usage,travel
GetRestaurants,number_of_seats,2,group_usage,travel
GetRestaurants,number_of_seats,3,group_usage,travel
GetRestaurants,number_of_seats,4,group_usage,travel
